2025 年度预算 — Periods 0-11 (2025-01-01 to 2025-12-31)
Account                       Budget   Actual  Remaining   %Used
Auto:Charging                  4,200    1,938      2,262   46.1%
Auto:Parking                   9,600    9,600          0  100.0%
Business:Cloud Hosting         4,800        0      4,800    0.0%
Clothing                      13,000    4,580      8,420   35.2%
Dining                        24,000   22,413      1,587   93.4%
Gifts                         13,000    9,800      3,200   75.4%
Groceries                     30,000   20,950      9,050   69.8%
Housing:Property Management   10,200   10,200          0  100.0%
Miscellaneous                 12,000   32,935    -20,935  274.5% ⚠
Streaming                        600      540         60   90.0%
Travel                        22,000   12,300      9,700   55.9%
TOTAL                        143,400  125,256     18,144   87.3%
