2025 Annual Budget — Periods 0-11 (2025-01-01 to 2025-12-31)
Account                 Budget     Actual   Remaining   %Used
Auto:Fuel                2,640   3,031.49     -391.49  114.8% ⚠
Business:Cloud Hosting   1,800   1,522.23      277.77   84.6%
Charity                  1,050        500         550   47.6%
Clothing                 1,800   1,444.25      355.75   80.2%
Dining                   4,200  10,690.02   -6,490.02  254.5% ⚠
Gifts                    1,900   2,279.45     -379.45  120.0% ⚠
Groceries                4,800   8,881.03   -4,081.03  185.0% ⚠
Housing:HOA              5,100      5,575        -475  109.3%
Miscellaneous            2,400   8,598.68   -6,198.68  358.3% ⚠
Pet                        840   2,170.14   -1,330.14  258.4% ⚠
Streaming                  552     588.57      -36.57  106.6%
Travel                   4,500  10,041.40   -5,541.40  223.1% ⚠
Utilities                5,400   5,219.88      180.12   96.7%
TOTAL                   36,982  60,542.14  -23,560.14  163.7% ⚠
